Tiempo (segundos),Luminosidad,Contraste
2.25,12.657,47.619
2.3,12.605,47.583
2.35,12.525,47.562
2.4,12.49,47.553
2.45,12.398,47.536
2.5,12.395,47.517
2.55,12.314,47.509
2.6,12.32,47.486
2.65,12.249,47.487
2.7,12.259,47.47
2.75,12.208,47.473
2.8,12.224,47.456
2.85,12.188,47.464
2.9,12.245,47.508
2.95,12.298,47.463
3.0,12.289,47.46
3.05,12.276,47.465
3.1,12.261,47.454
3.15,12.233,47.468
3.2,12.259,47.461
3.25,12.257,47.452
3.3,12.238,47.451
3.35,12.247,47.456
3.4,12.212,47.46
3.45,12.24,47.454
3.5,12.242,47.455
3.55,12.204,47.466
3.6,12.236,47.46
3.65,12.244,47.455
3.7,12.234,47.455
3.75,12.226,47.458
3.8,12.184,47.463
3.85,12.223,47.455
3.9,12.23,47.454
3.95,12.174,47.464
4.0,12.216,47.454
4.05,12.169,47.462
4.1,12.22,47.456
4.15,12.223,47.453
4.2,12.219,47.453
4.25,12.218,47.455
4.3,12.18,47.462
4.35,12.218,47.453
4.4,12.223,47.451
4.45,12.18,47.461
4.5,12.212,47.453
4.55,12.218,47.452
4.6,12.213,47.452
4.65,12.213,47.453
4.7,12.17,47.462
4.75,12.155,47.279
4.8,11.413,43.991
4.85,10.796,40.783
4.9,8.44,29.864
4.95,6.579,20.766
5.0,2.887,3.809
5.05,2.496,2.577
5.1,2.408,2.525
5.15,2.476,2.534
5.2,2.427,2.555
5.25,2.478,2.524
5.3,2.427,2.548
5.35,2.478,2.526
5.4,2.427,2.553
5.45,2.476,2.522
5.5,2.427,2.552
5.55,2.478,2.524
5.6,2.428,2.551
5.65,2.478,2.524
5.7,2.43,2.553
5.75,2.441,2.38
5.8,2.437,2.578
5.85,2.44,2.578
5.9,2.597,2.949
5.95,1.517,2.176
6.0,2.751,3.919
6.05,3.364,4.849
6.1,5.372,7.147
6.15,6.48,8.345
6.2,9.221,11.186
6.25,10.541,12.679
6.3,13.954,16.012
6.35,15.627,17.763
6.4,17.785,19.907
6.45,18.886,21.045
6.5,19.219,21.081
6.55,19.224,21.121
6.6,19.435,21.183
6.65,19.631,21.232
6.7,19.772,21.366
6.75,19.973,21.431
6.8,20.258,21.589
6.85,20.31,21.659
6.9,20.758,21.87
6.95,20.812,21.944
7.0,21.283,22.197
7.05,21.336,22.274
7.1,21.817,22.569
7.15,21.862,22.636
7.2,22.356,22.948
7.25,22.403,23.005
7.3,22.896,23.365
7.35,22.998,23.476
7.4,23.514,23.92
7.45,23.532,23.972
7.5,24.126,24.461
7.55,24.318,24.692
7.6,24.721,25.094
7.65,24.941,25.344
7.7,25.233,25.658
7.75,25.519,25.947
7.8,25.75,26.302
7.85,26.058,26.612
7.9,26.479,27.133
7.95,26.514,27.199
8.0,27.063,27.795
8.05,27.224,28.041
8.1,27.573,28.46
8.15,27.82,28.761
8.2,28.007,29.063
8.25,28.27,29.398
8.3,28.499,29.737
8.35,28.755,30.068
8.4,28.999,30.433
8.45,29.269,30.781
8.5,29.551,31.211
8.55,29.605,31.314
8.6,30.012,31.822
8.65,30.079,31.949
8.7,30.356,32.352
8.75,30.499,32.521
8.8,30.598,32.713
8.85,30.602,32.72
8.9,30.998,33.138
8.95,31.005,33.151
9.0,31.157,33.403
9.05,31.162,33.411
9.1,31.386,33.755
9.15,31.392,33.751
9.2,31.411,33.807
9.25,31.427,33.831
9.3,31.436,33.843
9.35,31.435,33.855
9.4,31.458,33.871
9.45,31.453,33.875
9.5,31.458,33.886
9.55,31.46,33.89
9.6,31.458,33.895
9.65,31.466,33.891
9.7,31.461,33.894
9.75,31.46,33.896
9.8,31.46,33.896
9.85,31.917,34.037
9.9,32.356,34.071
9.95,32.677,34.283
10.0,32.559,34.444
10.05,32.879,34.644
10.1,33.318,34.698
10.15,33.601,34.881
10.2,33.482,35.032
10.25,33.783,35.232
10.3,34.159,35.228
10.35,33.475,34.512
10.4,33.501,33.958
10.45,32.86,32.777
10.5,32.202,32.218
10.55,31.442,30.979
10.6,31.042,30.376
10.65,30.309,29.302
10.7,30.048,28.545
10.75,29.308,27.58
10.8,28.582,27.09
10.85,27.764,26.066
10.9,27.667,25.593
10.95,26.763,24.711
11.0,26.162,24.44
11.05,25.279,23.69
11.1,25.125,23.346
11.15,23.985,22.727
11.2,23.687,22.398
11.25,23.002,22.116
11.3,22.411,21.988
11.35,21.699,21.752
11.4,21.434,21.601
11.45,20.764,21.512
11.5,20.344,21.502
11.55,19.823,21.46
11.6,19.558,21.453
11.65,19.181,21.533
11.7,19.107,21.583
11.75,18.824,21.586
11.8,18.503,21.614
11.85,18.284,21.539
11.9,18.271,21.605
11.95,17.904,21.654
12.0,18.157,21.664
12.05,18.128,21.731
12.1,17.915,21.806
12.15,17.776,21.937
12.2,17.841,21.985
12.25,17.781,22.054
12.3,17.39,22.181
12.35,17.473,22.222
12.4,17.168,22.303
12.45,17.36,22.436
12.5,17.16,22.48
12.55,17.114,22.527
12.6,16.946,22.636
12.65,16.905,22.64
12.7,16.725,22.705
12.75,16.21,22.81
12.8,15.963,22.893
12.85,16.223,22.942
12.9,16.017,22.985
12.95,16.207,23.021
13.0,15.845,23.14
13.05,15.576,23.19
13.1,15.334,23.306
13.15,15.136,23.342
13.2,14.891,23.346
13.25,14.912,23.369
13.3,15.099,23.344
13.35,14.922,23.305
13.4,14.621,23.219
13.45,14.424,23.049
13.5,14.441,22.948
13.55,13.59,22.693
13.6,13.388,22.654
13.65,13.388,22.534
13.7,13.529,22.418
13.75,13.283,22.176
13.8,13.43,21.945
13.85,12.924,21.555
13.9,12.662,21.311
13.95,11.615,21.145
14.0,11.77,21.083
14.05,11.669,21.019
14.1,11.43,20.962
14.15,11.177,20.816
14.2,11.203,20.789
14.25,11.183,20.579
14.3,10.974,20.546
14.35,10.914,20.382
14.4,11.061,20.349
14.45,10.958,20.137
14.5,10.901,20.045
14.55,10.914,19.988
14.6,10.754,19.97
14.65,10.652,19.691
14.7,10.808,19.644
14.75,10.804,19.582
14.8,10.641,19.562
14.85,10.485,19.352
14.9,10.541,19.303
14.95,10.601,18.96
15.0,10.468,18.936
15.05,10.578,18.778
15.1,10.448,18.698
15.15,10.432,18.517
15.2,10.556,18.423
15.25,10.506,18.296
15.3,10.507,18.288
15.35,10.478,18.075
15.4,10.445,17.919
15.45,10.428,17.815
15.5,10.425,17.676
15.55,10.21,17.381
15.6,10.291,17.187
15.65,10.124,16.997
15.7,10.209,16.902
15.75,10.028,16.699
15.8,10.15,16.616
15.85,10.0,16.58
15.9,10.079,16.386
15.95,9.851,15.982
16.0,9.901,15.67
16.05,9.723,15.555
16.1,9.78,15.318
16.15,9.578,15.06
16.2,9.67,14.92
16.25,9.514,14.904
16.3,9.599,14.804
16.35,9.411,14.679
16.4,9.501,14.475
16.45,9.301,14.284
16.5,9.387,14.239
16.55,9.202,14.218
16.6,9.329,14.236
16.65,9.16,14.329
16.7,9.264,14.261
16.75,9.083,14.371
16.8,9.263,14.302
16.85,9.144,14.368
16.9,9.129,14.213
16.95,8.8,13.965
17.0,8.924,13.974
17.05,8.69,13.87
17.1,8.872,13.733
17.15,8.72,13.884
17.2,8.671,13.838
17.25,8.657,13.965
17.3,8.652,14.035
17.35,8.73,14.059
17.4,8.51,14.133
17.45,8.558,14.306
17.5,8.777,14.232
17.55,8.771,14.283
17.6,8.55,14.352
17.65,8.567,14.517
17.7,8.769,14.352
17.75,8.7,14.192
17.8,8.471,14.215
17.85,8.332,14.16
17.9,8.418,14.156
17.95,8.424,14.22
18.0,8.606,14.215
18.05,8.535,14.027
18.1,8.501,13.819
18.15,8.533,13.651
18.2,8.342,13.71
18.25,8.349,13.74
18.3,8.545,13.748
18.35,8.568,13.861
18.4,8.379,13.922
18.45,8.38,13.979
18.5,8.579,13.994
18.55,8.525,14.062
18.6,8.517,14.063
18.65,8.588,14.146
18.7,8.399,14.197
18.75,8.428,14.291
18.8,8.579,14.319
18.85,8.435,14.38
18.9,8.446,14.401
18.95,8.595,14.321
19.0,8.452,14.403
19.05,8.567,14.454
19.1,8.846,14.496
19.15,8.965,14.564
19.2,8.776,14.589
19.25,9.041,14.609
19.3,8.915,14.691
19.35,9.156,14.726
19.4,9.011,14.764
19.45,9.201,14.872
19.5,9.047,14.951
19.55,9.222,14.969
19.6,9.067,15.012
19.65,9.151,15.047
19.7,9.302,15.019
19.75,9.11,14.894
19.8,9.294,14.861
19.85,9.201,14.805
19.9,9.188,14.791
19.95,9.229,14.829
20.0,9.04,14.859
20.05,9.089,14.874
20.1,9.285,14.843
20.15,9.288,14.797
20.2,9.108,14.766
20.25,9.129,14.798
20.3,9.332,14.857
20.35,9.308,14.872
20.4,9.317,14.896
20.45,9.304,15.008
20.5,9.108,15.015
20.55,8.463,15.086
20.6,8.558,15.146
20.65,8.126,15.241
20.7,7.763,15.23
20.75,7.401,15.28
20.8,7.25,15.27
20.85,6.414,15.341
20.9,6.506,15.359
20.95,6.234,15.455
21.0,6.049,15.449
21.05,5.859,15.572
21.1,5.691,15.572
21.15,5.569,15.683
21.2,5.48,15.799
21.25,5.048,15.967
21.3,4.97,15.907
21.35,4.905,15.898
21.4,4.854,15.92
21.45,4.448,15.975
21.5,4.48,15.983
21.55,4.423,15.989
21.6,4.374,15.972
21.65,3.824,15.834
21.7,3.888,15.777
21.75,3.788,15.792
21.8,3.655,15.824
21.85,3.614,15.92
21.9,3.501,15.93
21.95,3.423,16.058
22.0,3.496,16.069
22.05,3.47,16.049
22.1,3.378,15.965
22.15,3.382,16.06
22.2,3.384,16.098
22.25,3.382,16.141
22.3,3.381,16.158
22.35,3.382,16.218
22.4,3.453,16.263
22.45,3.453,16.304
22.5,3.387,16.283
22.55,3.448,16.329
22.6,3.37,16.246
22.65,3.352,16.145
22.7,3.347,16.145
22.75,3.344,16.16
22.8,3.412,16.216
22.85,3.421,16.266
22.9,3.359,16.257
22.95,3.364,16.28
23.0,3.431,16.309
23.05,3.415,16.34
23.1,3.413,16.335
23.15,3.441,16.434
23.2,3.382,16.423
23.25,3.392,16.46
23.3,3.441,16.388
23.35,3.462,16.488
23.4,3.411,16.509
23.45,3.416,16.564
23.5,3.485,16.61
23.55,3.514,16.74
23.6,3.46,16.774
23.65,3.459,16.737
23.7,3.526,16.767
23.75,3.528,16.729
23.8,3.455,16.639
23.85,3.412,16.67
23.9,3.452,16.597
23.95,3.469,16.629
24.0,3.422,16.612
24.05,3.408,16.507
24.1,3.472,16.554
24.15,3.482,16.587
24.2,3.425,16.567
24.25,3.47,16.541
24.3,3.422,16.562
24.35,3.478,16.72
24.4,3.466,16.769
24.45,3.54,16.865
24.5,3.489,16.85
24.55,3.511,16.915
24.6,3.568,16.952
24.65,3.52,16.975
24.7,3.578,17.013
24.75,3.516,16.928
24.8,3.568,16.937
24.85,3.596,17.09
24.9,3.544,17.107
24.95,3.55,17.046
25.0,3.607,17.085
25.05,3.522,16.883
25.1,3.553,16.794
25.15,3.492,16.767
25.2,3.54,16.727
25.25,3.451,16.273
25.3,3.408,16.015
25.35,3.332,15.689
25.4,3.295,15.488
25.45,3.209,15.037
25.5,3.156,14.9
25.55,3.153,14.869
25.6,3.186,14.834
25.65,3.19,14.832
25.7,3.164,14.859
25.75,3.183,14.89
25.8,3.229,14.938
25.85,3.221,14.858
25.9,3.18,14.778
25.95,3.192,14.809
26.0,3.241,14.898
26.05,3.234,14.969
26.1,3.241,15.0
26.15,3.229,14.79
26.2,3.207,14.837
26.25,3.237,14.955
26.3,3.281,14.992
26.35,3.291,15.017
26.4,3.258,15.005
26.45,3.271,15.059
26.5,3.269,14.944
26.55,3.254,14.982
26.6,3.302,15.022
26.65,3.316,15.05
26.7,3.291,15.073
26.75,3.293,15.036
26.8,3.332,15.067
26.85,3.24,15.072
26.9,3.286,15.149
26.95,3.32,15.288
27.0,3.34,15.36
27.05,3.37,15.436
27.1,3.358,15.511
27.15,3.412,15.694
27.2,3.405,15.73
27.25,3.408,15.68
27.3,3.412,15.608
27.35,3.356,15.404
27.4,3.365,15.381
27.45,3.356,15.374
27.5,3.385,15.461
27.55,3.377,15.46
27.6,3.399,15.518
27.65,3.415,15.661
27.7,3.435,15.702
27.75,3.418,15.626
27.8,3.428,15.603
27.85,3.441,15.723
27.9,3.452,15.731
27.95,3.453,15.774
28.0,3.487,15.812
28.05,3.501,15.918
28.1,3.486,15.996
28.15,3.527,16.085
28.2,3.526,16.149
28.25,3.568,16.331
28.3,3.587,16.4
28.35,3.52,16.189
28.4,3.448,15.726
28.45,3.337,14.963
28.5,3.346,14.997
28.55,3.373,15.194
28.6,3.368,15.098
28.65,3.368,15.127
28.7,3.406,15.265
28.75,3.45,15.517
28.8,3.49,15.661
28.85,3.543,15.946
28.9,3.592,16.118
28.95,3.638,16.37
29.0,3.67,16.465
29.05,3.708,16.677
29.1,3.696,16.518
29.15,3.702,16.545
29.2,3.738,16.644
29.25,3.804,16.959
29.3,3.842,17.078
29.35,3.821,16.932
29.4,3.816,16.79
29.45,3.879,17.086
29.5,3.932,17.263
29.55,3.968,17.36
29.6,4.015,17.504
29.65,4.094,17.851
29.7,4.14,17.991
29.75,4.225,18.387
29.8,4.303,18.546
29.85,4.249,18.514
29.9,4.242,18.378
29.95,4.264,18.406
30.0,4.273,18.367
30.05,4.241,18.226
30.1,4.243,18.165
30.15,4.239,18.139
30.2,4.281,18.205
30.25,4.346,18.448
30.3,4.364,18.613
30.35,4.458,18.961
30.4,4.475,19.075
30.45,4.504,19.165
30.5,4.496,19.149
30.55,4.478,18.938
30.6,4.443,18.772
30.65,4.475,18.903
30.7,4.459,18.897
30.75,4.439,18.666
30.8,4.445,18.731
30.85,4.557,19.054
30.9,4.591,19.218
30.95,4.68,19.547
31.0,4.723,19.708
31.05,4.811,19.989
31.1,4.837,20.076
31.15,4.831,20.121
31.2,4.865,20.14
31.25,4.867,20.132
31.3,4.89,20.15
31.35,4.896,20.238
31.4,4.921,20.307
31.45,4.936,20.407
31.5,4.96,20.456
31.55,4.967,20.513
31.6,4.986,20.553
31.65,4.982,20.561
31.7,4.986,20.564
31.75,4.985,20.564
31.8,4.984,20.562
31.85,4.984,20.562
31.9,4.984,20.561
31.95,4.985,20.561
32.0,4.984,20.56
32.05,4.984,20.56
32.1,4.985,20.561
32.15,4.984,20.559
32.2,4.984,20.56
32.25,4.984,20.56
32.3,4.984,20.559
32.35,4.987,20.568
32.4,4.986,20.563
32.45,4.987,20.566
